,ESTRATO,DOMINIO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
209,3,U,30,Oax.,0.9296959826275787,0.7542553001687287,0.47059555162460853,7.676996234434447,460652
210,3,U,30,Qro.,0.8193244304791831,0.4853278554027531,0.7492899561063776,6.7171890557405,460652
211,3,U,30,Q. Roo.,0.75,0.6235559312482389,0.5919977458438997,6.6782192166807555,460652
212,3,U,30,S.L.P,0.6098901098901098,0.3829631906554984,0.6040851052857455,5.179583412753924,460652
213,3,U,30,Sin.,0.8087879454465463,0.5597645236976166,0.7644000207829995,7.00300991814265,460652
214,3,U,30,Son.,0.8564194707611892,0.8590300023686684,0.6845606781812412,8.230919248881914,460652
215,3,U,30,Tab.,0.826837416481069,0.5380794701986754,0.8007623622724265,7.061192271263831,460652
216,3,U,30,Tamps.,0.8178097657352525,0.5720315063840372,0.6664381245379452,6.89224133755305,460652
217,3,U,30,Tlax.,1.0,0.6666666666666666,1.0,8.666666666666668,460652
218,3,U,30,Ver.,0.8644283476898982,0.5140955364134691,1.0,7.514095536413469,460652
219,3,U,30,Yuc.,0.8676994301994303,0.5998199846259021,0.6947087297613086,7.259495118823947,460652
220,3,U,30,Zac.,0.8715319662243668,0.5490968503845898,0.5481848184818482,6.778884903399524,460652
221,3,U,31,Ags.,0.6919220582671206,0.4342215569011607,0.5062034839234465,5.516981428520018,228660
222,3,U,31,B.C.,0.8262933406714364,0.7570998918682843,0.819131728211785,7.971836386582454,228660
223,3,U,31,B.C.S,0.7117952522255193,0.6873861799459758,0.5003440480337676,6.597413824753517,228660
224,3,U,31,Camp.,0.6271844660194175,0.6666666666666666,0.5377109736607898,6.250826478065916,228660
225,3,U,31,Coah.,0.4909361471861472,0.1991255774274642,0.8074074074074075,4.375061713269261,228660
226,3,U,31,Col.,0.6593610698365527,0.6359427014967441,0.6829956046977347,6.5472062947286584,228660
227,3,U,31,Chis.,0.8075221238938053,0.48383582385825935,0.8988129405292563,6.963057672066773,228660
228,3,U,31,Chih.,0.4681818181818182,0.5503307424384781,0.6082520446860186,5.290554331853222,228660
229,3,U,31,C.D.Mx,0.746924499477366,0.7029292153023117,0.7271793426923899,7.253773544503491,228660
230,3,U,31,Dgo.,0.6739401496259352,0.5996637848222862,0.6835816888172909,6.461579115427467,228660
231,3,U,31,Gto.,0.7132352941176471,0.6026611130394539,0.6364061684359927,6.53639796550039,228660
232,3,U,31,Gro.,0.6281779661016949,0.5021459227467812,0.5886981402002861,5.698691835794476,228660
233,3,U,31,Hgo.,0.25,0.0,0.3333333333333333,1.666666666666667,228660
234,3,U,31,Jal.,0.5716173361522199,0.25817218122513835,0.29876710361663283,3.916692276742699,228660
235,3,U,31,Edo. Méx.,0.5408505154639176,0.31272559595176985,0.5362036021642712,4.4867116499912925,228660
236,3,U,31,Mich.,0.6615636570777557,0.5872725290081368,0.780363446202118,6.556071636747807,228660
237,3,U,31,Mor.,0.6566765578635014,0.5478671197907069,0.5990783410138248,6.016331392644484,228660
238,3,U,31,Nay.,0.5962328767123287,0.5706436255863341,0.46624394646319267,5.599993902121037,228660
239,3,U,31,N.L.,0.6376775848460932,0.4686524417349336,0.5014751402592378,5.428270386842583,228660
