,ESTRATO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
164,2,22,Hgo.,0.5534731046166879,0.48941104900954335,0.3072430465795395,4.786022707664004,9272
165,2,23,Hgo.,0.48606741573033707,0.4502591855873937,0.631137142401785,5.0075806900744935,7093
166,3,31,Hgo.,0.25,0.0,0.3333333333333333,1.666666666666667,409
167,3,32,Hgo.,0.8672332942555686,0.6174007612833061,0.5945727396300776,7.127681701415654,3865
168,3,33,Hgo.,0.7292091928628035,0.5521644017809361,0.6498831322186698,6.425260643012298,136922
169,4,42,Hgo.,0.8247510229290513,0.6140701343089042,0.7398016968317912,7.234888022615404,120611
170,1,11,Jal.,0.31408876673620545,0.23808925051555432,0.35886379794079654,2.926439664888632,345369
171,2,20,Jal.,0.5478957741074698,0.4688684394256622,0.460987877518583,4.989032609169694,4312112
172,2,21,Jal.,0.9046175673932672,0.8214551185349862,0.4846063373460634,7.87350341840514,29526
173,2,22,Jal.,0.6340079869304774,0.7200650428444995,0.7077462380446292,6.831784595189166,30074
174,2,23,Jal.,0.5817261330761814,0.6126700109630693,0.4290388064408049,5.635662189038612,19678
175,3,30,Jal.,0.8006709786616696,0.7146371269747878,0.5599214449870652,7.181075312519961,67654
176,3,31,Jal.,0.5716173361522199,0.25817218122513835,0.29876710361663283,3.916692276742699,16249
177,3,32,Jal.,0.8616140713916193,0.687477366421266,0.6212677461024992,7.43890124345654,57157
178,3,33,Jal.,0.674251335805027,0.5722573300435746,0.5894263988533708,6.164887461101149,2565135
179,3,34,Jal.,0.5964356002624098,0.6579545178126528,0.4829537624335478,5.983467997167347,43508
180,4,40,Jal.,1.0,0.9325165900969883,0.9302641323130091,9.590594625013972,19717
181,4,41,Jal.,0.682238453094655,0.8869788971860589,0.8293713855865912,7.935612172296038,24903
182,4,42,Jal.,0.853266030877382,0.7344255158513953,0.777526772174047,7.905819731263203,810102
183,4,43,Jal.,0.9730393731132378,0.8331474029943976,0.8727049405881577,8.970156985606858,47134
